,day,date,nb_authors,place,room,ref,section,session,pres,invited,lentitle
2957,Tuesday,15 December 2015,2.0,Moscone West,3022,0.0,Hydrology,Utilizing Precipitation Data Sets and Quantifying Associated Uncertainties in Hydrometeorological and Climate Impact Applications,Oral,0.0,4.0
2959,Thursday,17 December 2015,1.0,Moscone South,Poster Hall,0.0,Public Affairs,"How Science Will Support Countries, Governments, and the Public in Disaster Risk Reduction Following the UN Sendai Framework",Poster,1.0,7.0
2960,Thursday,17 December 2015,2.0,Moscone West,3020,0.0,Hydrology,Modeling Hydrological Processes and Changes,Poster,0.0,7.0
2961,Monday,14 December 2015,2.0,Moscone West,3011,0.0,Hydrology,Food Security in the Water-Food-Energy Nexus,Oral,1.0,13.0
2962,Thursday,17 December 2015,2.0,Moscone West,3012,0.0,Global Environmental Change,Climate Extremes,Oral,0.0,10.0
2963,Friday,18 December 2015,5.0,Moscone South,Poster Hall,0.0,Geomagnetism and Paleomagnetism,Using Magnetic Methods to Assign Chronostratigraphy to Sedimentary Sequences,Poster,0.0,11.0
2964,Tuesday,15 December 2015,4.0,Moscone South,Poster Hall,0.0,Geodesy,Reference Frames,Poster,0.0,6.0
2965,Thursday,17 December 2015,2.0,Moscone South,Poster Hall,0.0,Earth and Space Science Informatics,Near Real Time Data for Earth Science and Space Weather Applications,Poster,0.0,8.0
2966,Monday,14 December 2015,14.0,Moscone South,309,0.0,Natural Hazards,Science for Disaster Risk Reduction,Poster,1.0,8.0
2967,Tuesday,15 December 2015,3.0,Moscone West,3020,0.0,Hydrology,"Advances in Watershed Modeling of Hydrology, Sediment, and Nutrients",Oral,0.0,15.0
2968,Friday,18 December 2015,9.0,Moscone South,Poster Hall,0.0,Hydrology,Remote Sensing Applications for Water Resources Management,Poster,0.0,20.0
2970,Thursday,17 December 2015,7.0,Moscone South,Poster Hall,0.0,Natural Hazards,Advances in Remote Sensing of Natural Hazards,Poster,0.0,30.0
2971,Wednesday,16 December 2015,13.0,Moscone West,3005,0.0,Cryosphere,Processes and Properties of Arctic and Antarctic Sea Ice and Its Snow Cover,Oral,1.0,16.0
2976,Friday,18 December 2015,13.0,Moscone South,Poster Hall,0.0,Global Environmental Change,"Field/Laboratory Analysis, Modeling, and Stakeholder Involvement to Assess Impacts of the Coastal Dynamics of Sea Level Rise in Low Gradient Coastal Landscapes",Poster,0.0,11.0
